number,name,unigene,ligandid,ligandname,smiles,cas,nsc,hotligand,species,source,kinote,kival,reference,link
116,5-HT1A,HTR1A,87,3-AMTBI,C1CC2=C3C(=CC=C2)NC=C3C1CN,194894,,3H-8-OH-DPAT,RAT,CORTEX,,369.0,"TAYLOR ET AL,. 1987",
117,5-HT1A,HTR1A,90,3-CPP,,,,3H-8-OH-DPAT,RAT,HIPPOCAMPUS,,350.14,"COSSERY ET AL.,1986",
118,5-HT1A,HTR1A,109,4-CPP,CC(C(=O)O)OC1=CC=C(C=C1)Cl,68157-60-8,,3H-8-OH-DPAT,RAT,HIPPOCAMPUS,,1965.71,"COSSERY ET AL.,1986",
119,5-HT1A,HTR1A,116,4-HT,C1=CC2=C(C(=C1)O)C(=CN2)CCN,,,3H-8-OH-DPAT,PIG,CORTEX,,95.5,"ENGEL ET AL, 1986",
120,5-HT1A,HTR1A,126,"5,6-DHT",C1=C2C(=CC(=C1O)O)NC=C2CCN,5090-36-8,,3H-8-OH-DPAT,RAT,CORTEX,,260.0,"PEROUTKA, 1986",
121,5-HT1A,HTR1A,126,"5,6-DHT",C1=C2C(=CC(=C1O)O)NC=C2CCN,5090-36-8,,3H-8-OH-DPAT,PIG,CORTEX,,955.0,"ENGEL ET AL, 1986",
122,5-HT1A,HTR1A,131,"5,7-DHT",,39929-27-6,,3H-8-OH-DPAT,PIG,CORTEX,>,10000.0,"ENGEL ET AL, 1986",
123,5-HT1A,HTR1A,140,5-CT,C1=CC2=C(C=C1C(=O)N)C(=CN2)CCN,74885-09-9,,3H-8-OH-DPAT,PIG,CORTEX,,0.16,"HOYER ET AL., 1985",
124,5-HT1A,HTR1A,140,5-CT,C1=CC2=C(C=C1C(=O)N)C(=CN2)CCN,74885-09-9,,3H-8-OH-DPAT,PIG,CORTEX,,0.21,"ENGEL ET AL, 1986",
125,5-HT1A,HTR1A,140,5-CT,C1=CC2=C(C=C1C(=O)N)C(=CN2)CCN,74885-09-9,,3H-8-OH-DPAT,PIG,CORTEX,,0.3,"MARKSTEIN ET AL, 1986",
126,5-HT1A,HTR1A,140,5-CT,C1=CC2=C(C=C1C(=O)N)C(=CN2)CCN,74885-09-9,,3H-8-OH-DPAT,PIG,CORTEX,,0.3,"SCHLICKER ET AL., 1989",
127,5-HT1A,HTR1A,140,5-CT,C1=CC2=C(C=C1C(=O)N)C(=CN2)CCN,74885-09-9,,3H-8-OH-DPAT,PIG,CORTEX,,0.3,"HOYER, 1989 (J.R.R.)",
